BlockId;Coordinates;cv_cox_avg;cv_att_avg;cv_cox_dict;cv_att_dict
220710090003008;[[29.926734999999997, -90.085848], [29.926257999999997, -90.086705], [29.926954, -90.087211], [29.927419999999998, -90.086365], [29.926734999999997, -90.085848]];5.37;10.493999999999998;{"5.37": 15};{"12.1": 13, "0.11": 1, "0.0": 1}
220710024011006;[[29.997147, -90.054445], [29.996753, -90.05524199999999], [29.999384, -90.05694199999999], [29.999768999999997, -90.056146], [29.997147, -90.054445]];5.370000000000002;12.100000000000009;{"5.37": 38};{"12.1": 38}
220710109002008;[[29.929467, -90.10252799999999], [29.929388, -90.103595], [29.930348, -90.10372799999999], [29.930449, -90.102575], [29.929467, -90.10252799999999]];5.370000000000001;8.85;{"5.37": 18};{"12.1": 13, "0.4": 5}
220710025042009;[[30.003787, -90.04650099999999], [30.002793999999998, -90.046452], [30.002844999999997, -90.046649], [30.003014, -90.047356], [30.005383, -90.047547], [30.005439, -90.04665], [30.004628, -90.046572], [30.003787, -90.04650099999999]];5.370000000000002;12.100000000000003;{"5.37": 28};{"12.1": 28}
220710090002003;[[29.928393, -90.082887], [29.927920999999998, -90.083749], [29.928622999999998, -90.08425799999999], [29.929095999999998, -90.083412], [29.928393, -90.082887]];5.369999999999999;12.099999999999998;{"5.37": 7};{"12.1": 7}
220710107001024;[[29.920700999999998, -90.102711], [29.920605, -90.103826], [29.921626999999997, -90.103927], [29.921678999999997, -90.102785], [29.920700999999998, -90.102711]];5.730000000000002;12.099999999999996;{"5.73": 18};{"12.1": 18}
220710017471026;[[30.032337, -89.948723], [30.032619999999998, -89.948934], [30.032745, -89.94899699999999], [30.032843, -89.94895799999999], [30.032912999999997, -89.948931], [30.033009, -89.94883999999999], [30.033057999999997, -89.948771], [30.033213999999997, -89.948506], [30.033503, -89.948055], [30.033683, -89.947779], [30.033689, -89.947755], [30.033676, -89.947729], [30.033665, -89.947707], [30.033557, -89.94763499999999], [30.033358999999997, -89.947496], [30.03307, -89.947262], [30.032973, -89.947153], [30.032549, -89.947869], [30.032321, -89.94825399999999], [30.03213, -89.948578], [30.032337, -89.948723]];5.369999999999999;12.099999999999996;{"5.37": 13};{"12.1": 13}
220710033021010;[[30.011608, -90.07269699999999], [30.011643, -90.07214599999999], [30.011663, -90.071754], [30.010275, -90.07167299999999], [30.010195999999997, -90.07166], [30.010126, -90.071608], [30.010095, -90.07153199999999], [30.010075999999998, -90.07140000000001], [30.010075999999998, -90.071165], [30.010066, -90.070596], [30.00941, -90.070539], [30.009344, -90.071164], [30.009321, -90.071398], [30.009323, -90.071598], [30.009338999999997, -90.071758], [30.009354, -90.071872], [30.009382, -90.071957], [30.009432999999998, -90.07209], [30.009543999999998, -90.07225199999999], [30.009726999999998, -90.07242699999999], [30.009916999999998, -90.07252], [30.010112, -90.072583], [30.010306999999997, -90.07262399999999], [30.010524999999998, -90.07264699999999], [30.01158, -90.072695], [30.011608, -90.07269699999999]];5.37;12.099999999999996;{"5.37": 16};{"12.1": 16}
220710116001017;[[29.920924, -90.11502899999999], [29.921077, -90.116028], [29.922131, -90.11575099999999], [29.921937999999997, -90.114795], [29.921536999999997, -90.114905], [29.921172, -90.11498999999999], [29.920924, -90.11502899999999]];5.730000000000002;12.099999999999996;{"5.73": 15};{"12.1": 15}
220710006181004;[[29.91272, -90.009896], [29.912687, -90.009942], [29.912649, -90.00998799999999], [29.912581, -90.01004999999999], [29.91256, -90.01006699999999], [29.912494, -90.01011899999999], [29.912284, -90.01024699999999], [29.912091, -90.010318], [29.911880999999997, -90.010368], [29.911661, -90.01041699999999], [29.911706, -90.011211], [29.91197, -90.011191], [29.912239999999997, -90.011147], [29.912381999999997, -90.011106], [29.912509, -90.011067], [29.912625, -90.01101], [29.912748999999998, -90.01093399999999], [29.912874, -90.010852], [29.913023, -90.010736], [29.913152999999998, -90.010612], [29.91328, -90.010449], [29.913406, -90.010272], [29.913528, -90.010097], [29.913611, -90.009941], [29.913684999999997, -90.009762], [29.913753, -90.009592], [29.913828, -90.00934], [29.913159999999998, -90.009073], [29.913081, -90.009243], [29.912986, -90.009462], [29.912891, -90.00963399999999], [29.912757, -90.009846], [29.91272, -90.009896]];5.370000000000001;12.099999999999996;{"5.37": 22};{"12.1": 22}
